,0,1,2,3,4,5,6,7
0,PROPVRINOCVIAINL CGOIAVLE RGNOOVRERNOR,,,,,,,
1,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
2,1,"ACAYLAR, ALFREDO (IND)",MALE,"ACAYLAR, ALFREDO MONFERO",INDEPENDENT,GOVERNOR,,
3,2,"AGAPAY, KAREN (PFP)",FEMALE,"AGAPAY, KATHERINE CARTABIO",PARTIDO FEDERAL NG PILIPINAS,GOVERNOR,,
4,3,"ARAGONES, SOL (AKAY)",FEMALE,"ARAGONES, MARISOL CASTILLO","AKAY NATIONAL POLITICAL
PARTY",GOVERNOR,,
5,4,"FERNANDEZ, DA BOY (IND)",MALE,"FERNANDEZ, NIEZELINO TEJEDOR",INDEPENDENT,GOVERNOR,,
6,5,"FERNANDEZ, DAN (NUP)",MALE,"FERNANDEZ, DANILO RAMON SUBIAGA",NATIONAL UNITY PARTY,GOVERNOR,,
7,6,"FERNANDEZ, DANA (AKSYON)",FEMALE,"FERNANDEZ, JENNY VHEE
COMPRENDIO",AKSYON DEMOKRATIKO,GOVERNOR,,
8,7,"HERNANDEZ, ROSE (WPP)",FEMALE,"HERNANDEZ, JEMMA VILLANUEVA","WORKERS AND PEASANTS
PARTY",GOVERNOR,,
9,8,"HERNANDEZ, RUTH (LAKAS)",FEMALE,"HERNANDEZ, RUTH MARIANO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",GOVERNOR,,
10,9,"REYES, CALOY (IND)",MALE,"REYES, CARLOS JARAPLASAN",INDEPENDENT,GOVERNOR,,
11,10,"SAMIA, KOYANG NOLI (IND)",MALE,"SAMIA, MANOLO REQUITUD",INDEPENDENT,GOVERNOR,,
12,11,"TOLENTINO, ALEXANDER (IND)",MALE,"TOLENTINO, ALEXANDER MANABAT",INDEPENDENT,GOVERNOR,,
13,PROPVRINOCVIAINL CVIICAEL-G VOIVCEER-NGOORVERNOR,,,,,,,
14,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
15,1,"BUERA, MARY (IND)",FEMALE,"BUERA, MARY VILLANUEVA",INDEPENDENT,VICE-GOVERNOR,,
16,2,"CARAIT, ATTY. JM (LAKAS)",MALE,"CARAIT, MAGTANGOL JOSE III CALAYAG","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",VICE-GOVERNOR,,
17,3,"EJERCITO, JORGE JERICO (IND)",MALE,"EJERCITO, JORGE ANTONIO GENARO
JAVIER",INDEPENDENT,VICE-GOVERNOR,,
18,4,"PEREZ, PEEWEE PLATON
(AKAY)",MALE,"PEREZ, PEEWEE PLATON","AKAY NATIONAL POLITICAL
PARTY",VICE-GOVERNOR,,
19,5,"RETUERTO, GEM AMANTE
(NUP)",FEMALE,"RETUERTO, BENILDA RUELLO",NATIONAL UNITY PARTY,VICE-GOVERNOR,,
20,6,"ZUÑIGA, LORENZO (PFP)",MALE,"ZUÑIGA, LORENZO BALDEMOR",PARTIDO FEDERAL NG PILIPINAS,VICE-GOVERNOR,,
21,"MEMMBEEMR,B SEARN,G SGAUNNIGANGGU PNAINALNALGA WPIAGNANLALAWIGAN",,,,,,,
22,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
23,1,"ALMORO, CARLO (NUP)",MALE,"ALMORO, CARLO MALAPITAN",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,,
24,2,"AMBAYEC, BRAD LON-LON
(AKAY)",MALE,"AMBAYEC, CARLON SARSONA","AKAY NATIONAL POLITICAL
PARTY",PROVINCIAL BOARD MEMBER,,
25,"MEMMBEEMR,B SEARN,G SGAUNNIGANGGU PNAINALNALGA WPIAGNANLALAWIGAN",,,,,,,
26,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
27,3,"CAMPOS, RAFFY (NUP)",MALE,"CAMPOS, RAFAEL PINEDA",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,,
28,4,"OLIVARES, BERNADETH (KNP)",FEMALE,"OLIVARES, BERNADETH VILLALUZ","KATIPUNAN NG NAGKAKAISANG
PILIPINO PARTY",PROVINCIAL BOARD MEMBER,,
29,5,"SALVATIERRA, ATTY. JEAMIE
(PFP)",FEMALE,"SALVATIERRA, JEAMIE YABUT",PARTIDO FEDERAL NG PILIPINAS,PROVINCIAL BOARD MEMBER,,
30,"MEMMBEEMR,B SEARN,G SGAUNNIGANGGU PNAINALNALGA WPIAGNANLALAWIGAN",,,,,,,
31,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
32,1,"AGUILLO, CHRISTIAN (AKAY)",MALE,"AGUILLO, CHRISTIAN GARCIA","AKAY NATIONAL POLITICAL
PARTY",PROVINCIAL BOARD MEMBER,,
33,2,"BAGNES, NINOY (NUP)",MALE,"BAGNES, NEPTALI BANASIHAN",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,,
34,3,"BELARMINO, BIM (PFP)",MALE,"BELARMINO, GUILLERMO JR.
BERSABAL",PARTIDO FEDERAL NG PILIPINAS,PROVINCIAL BOARD MEMBER,,
35,4,"CARINGAL, TUTTI (NUP)",MALE,"CARINGAL, TITO FORTUNATO II ABAT",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,,
36,5,"DELA CRUZ, PAS IRMA (LAKAS)",FEMALE,"DELA CRUZ, IRMA GILLACO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,,
37,"MEMMBEEMR,B SEARN,G SGAUNNIGANGGU PNAINALNALGA WPIAGNANLALAWIGAN",,,,,,,
38,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
39,1,"ADAJAR, KARLA MONICA
(LAKAS)",FEMALE,"ADAJAR-LAJARA, KARLA MONICA
CASIMIRO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,,
40,2,"ALARVA, ANGELICA JONES
(PFP)",FEMALE,"ALARVA, ANGELICA BANAAG",PARTIDO FEDERAL NG PILIPINAS,PROVINCIAL BOARD MEMBER,,
41,3,"CARATIHAN, CHARLES (LAKAS)",MALE,"CARATIHAN, CHARLES OWEN
MACASINAG","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,,
42,4,"FLORES, ICEL (IND)",FEMALE,"FLORES, MA CECILIA MANALO",INDEPENDENT,PROVINCIAL BOARD MEMBER,,
43,5,"REYES, ELMA (IND)",FEMALE,"REYES, ELMA PEREZ",INDEPENDENT,PROVINCIAL BOARD MEMBER,,
44,6,"VENZUELA, JUANITA (IND)",FEMALE,"VENZUELA, JUANITA ARIDA",INDEPENDENT,PROVINCIAL BOARD MEMBER,,
45,"MEMMBEEMR,B SEARN,G SGAUNNIGANGGU PNAINALNALGA WPIAGNANLALAWIGAN",,,,,,,
46,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
47,1,"AGARAO, JAM (PFP)",FEMALE,"AGARAO, MARIA JAMINA KATHERINE
BALTAZAR",PARTIDO FEDERAL NG PILIPINAS,PROVINCIAL BOARD MEMBER,,
48,2,"EJERCITO, MARIA GUADALUPE
(IND)",FEMALE,"EJERCITO, MARIA GUADALUPE JAVIER",INDEPENDENT,PROVINCIAL BOARD MEMBER,,
49,"MEMMBEEMR,B SEARN,G SGAUNNIGANGGU PNAINALNALGA WPIAGNANLALAWIGAN",,,,,,,
50,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
51,3,"GOJAS, ATTY. ELI (IND)",MALE,"GOJAS, ELIEZER VILLANUEVA",INDEPENDENT,PROVINCIAL BOARD MEMBER,,
52,4,"LOPEZ, ARCHEE (LAKAS)",MALE,"LOPEZ, ROMAN CARLOS REAL","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,,
53,5,"PALACOL, ROMMEL (LAKAS)",MALE,"PALACOL, ROMMEL MIRANO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,,
54,6,"RAGAZA, KENNETH (NUP)",MALE,"RAGAZA, JOHN EDWARD KENNETH
MACAWILI",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,,
55,7,"SAN LUIS, RAI-ANN (NUP)",MALE,"SAN LUIS, RAI-ANN AGUSTINE LAVIÑA",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,,
56,"MEMMBEEMR,B HEORU,S HE OOUF RSEEP OREFS RENETPARTIEVESSENTATIVES",,,,,,,
57,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
58,1,"MATIBAG, ANN AMB (LAKAS)",FEMALE,"MATIBAG, MA. RENE ANN LOURDES
GARCIA","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,,1.0
59,"MEMMBEEMR,B HEORU,S HE OOUF RSEEP OREFS RENETPARTIEVESSENTATIVES",,,,,,,
60,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
61,1,"HAIN, DONDON RICHARD (NUP)",MALE,"HAIN, RICHARD CANTERA",NATIONAL UNITY PARTY,REPRESENTATIVE,,2.0
62,2,"HERNANDEZ, RAM (WPP)",FEMALE,"HERNANDEZ, WINY VILLANUEVA","WORKERS AND PEASANTS
PARTY",REPRESENTATIVE,,2.0
63,3,"HERNANDEZ, RAMIL (LAKAS)",MALE,"HERNANDEZ, RAMIL LAUREL","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,,2.0
64,4,"HERNANDEZ, ROMEO (IND)",MALE,"HERNANDEZ, DANTE AGUILAR",INDEPENDENT,REPRESENTATIVE,,2.0
65,"MEMMBEEMR,B HEORU,S HE OOUF RSEEP OREFS RENETPARTIEVESSENTATIVES",,,,,,,
66,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
67,1,"AMANTE, AMBEN (LAKAS)",MALE,"AMANTE, LORETO SAHAGUN","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,,3.0
68,2,"EMPEMANO, EMPELIGHT (RP)",MALE,"EMPEMANO, ERNESTO HONRUBIA",REFORM PH-PEOPLE’S PARTY,REPRESENTATIVE,,3.0
69,3,"MAMARIL, OCHA (IND)",MALE,"MAMARIL, OSCAR DELA CRUZ",INDEPENDENT,REPRESENTATIVE,,3.0
70,4,"MASIRAG, RONNIE (IND)",MALE,"MASIRAG, RONILO BADDAL",INDEPENDENT,REPRESENTATIVE,,3.0
71,"MEMMBEEMR,B HEORU,S HE OOUF RSEEP OREFS RENETPARTIEVESSENTATIVES",,,,,,,
72,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
73,"MEMMBEEMR,B HEORU,S HE OOUF RSEEP OREFS RENETPARTIEVESSENTATIVES",,,,,,,
74,#,NAME TO APPEAR ON THE BALLOT,SEX,NAME,POLITICAL PARTY,,,
75,1,"AGARAO, BENJIE (PFP)",MALE,"AGARAO, JR., BENJAMIN CUETO",PARTIDO FEDERAL NG PILIPINAS,REPRESENTATIVE,,4.0
76,2,"CAROLINO, TONY (NUP)",MALE,"CAROLINO, ANTONIO MARAÑA",NATIONAL UNITY PARTY,REPRESENTATIVE,,4.0
77,3,"SORIANO, VINCE (LAKAS)",MALE,"SORIANO, VINCENT LUDOVICO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,,4.0
